condition,drugName
Schizophrenia,Clozaril
Non-Small Cell Lung Cance,Gefitinib
Dysuria,Uricalm
"Onychomycosis, Fingernail",Penlac Nail Lacquer
Herpes Simplex,Allantoin / camphor / phenol
High Cholesterol,Pravachol
"Alzheimer's Disease",Galantamine
High Blood Pressure,Tekturna HCT
Chronic Idiopathic Constipation,Trulance
Overactive Bladde,Sanctura
Prevention of Thromboembolism in Atrial Fibrillation,Coumadin
"Hashimoto's disease",Unithroid
Acne,Veltin
Weight Loss,Belviq XR
Acne,Amnesteem
Seizures,Aptiom
Urticaria,Allegra
Bipolar Disorde,Lithobid
Renal Cell Carcinoma,Afinitor
,Trivora
HIV Infection,Combivir
"COPD, Maintenance",Daliresp
Irritable Bowel Syndrome,Alosetron
ADHD,ProCentra
Anxiety,Diazepam Intensol
Pain,Demerol
High Blood Pressure,Diovan HCT
High Cholesterol,Trilipix
"High Cholesterol, Familial Heterozygous",Altoprev
Panic Disorde,Niravam
Scabies,Elimite
Secondary Cutaneous Bacterial Infections,Mupirocin
Pain,Acetaminophen / pentazocine
Osteoarthritis,Duexis
Bladder Infection,Hiprex
High Blood Pressure,Maxzide
Birth Control,Altavera
Obesity,Chorionic gonadotropin (hcg)
"Asthma, acute",Quibron-T
Eye Redness/Itching,Tetrahydrozoline / zinc sulfate
"Diabetes, Type 2",Saxagliptin
Atrophic Vaginitis,Yuvafem
Bacterial Endocarditis Prevention,Cefazolin
Irritable Bowel Syndrome,Tegaserod
Eczema,Dupilumab
Postoperative Ocular Inflammation,Ilevro
Irritable Bowel Syndrome,EnteraGam
Cluster Headaches,Calan
Atrial Fibrillation,Sotalol
Anxiety,Limbitrol DS
Benign Prostatic Hyperplasia,Avodart
Topical Disinfection,Sodium hypochlorite
Renal Cell Carcinoma,Votrient
Otitis Externa,Ciprodex
Back Pain,Bayer Aspirin
Bipolar Disorde,Valproic acid
Vaginal Yeast Infection,Monistat 1-Day or Night Combination Pack
Mania,Stavzor
Smoking Cessation,Habitrol
Pain,Reprexain
Nasal Congestion,Zicam Extreme Congestion Relief
"Organ Transplant, Rejection Prophylaxis",Prograf
Herbal Supplementation,Ginkgo
High Cholesterol,Ezetimibe / simvastatin
Xerostomia,Biotene Mouthwash
Interstitial Cystitis,Tofranil
Arrhythmia,Amiodarone
High Blood Pressure,Tekturna
Diarrhea,Bismuth subsalicylate
"Glaucoma, Open Angle",Travoprost
Alopecia,Rogaine
Birth Control,Juleber
Neuralgia,Pamelor
"Crohn's Disease, Maintenance",Mercaptopurine
Migraine,Frova
"Asthma, Maintenance",Proventil HFA
Supraventricular Tachycardia,Cartia XT
"Gout, Acute",Colcrys
"Conjunctivitis, Allergic",Elestat
Back Pain,Zipsor
Schizophrenia,Mellaril
Cough and Nasal Congestion,Chlorpheniramine / dextromethorphan / pseudoephedrine
,Linagliptin
ADHD,Methylin
Muscle Spasm,Lorzone
Nasal Congestion,Privine
Allergic Rhinitis,Astelin
Postmenopausal Symptoms,CombiPatch
Anemia,Multivitamin with iron
Acne,Tri-Estarylla
Psychosis,Haloperidol
Not Listed / Othe,Olodaterol
Urinary Tract Infection,Hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate
Allergic Rhinitis,Nasonex
Weight Loss,T-Diet
Rheumatoid Arthritis,Salsalate
Dietary Supplementation,Diosmiplex
High Blood Pressure,Metoprolol Tartrate
Bacterial Infection,Penicillin g benzathine
Psoriasis,Dovonex
Head Lice,Spinosad
Hypertriglyceridemia,Icosapent
Cough and Nasal Congestion,Chlorpheniramine / hydrocodone / phenylephrine
Headache,Excedrin Sinus Headache
"Alzheimer's Disease",Aricept
Seizures,Fycompa
"Non-Hodgkin's Lymphoma",Bendamustine
Psoriasis,Coal tar / salicylic acid / sulfur
Acne,TriNessa Lo
"Raynaud's Syndrome",Sular
Thyroid Cance,Cabozantinib
High Cholesterol,Simcor
Benign Prostatic Hyperplasia,Hytrin
Sinusitis,Cleocin
"Gout, Acute",Solu-Medrol
Back Pain,Anaprox
Rosacea,Rhofade
Eczema,Westcort
ibromyalgia,Glucosamine
"Tourette's Syndrome",Orap
"Ulcerative Colitis, Active",Uceris
Cough and Nasal Congestion,Hydrocodone / pseudoephedrine
"Tuberculosis, Latent",Rifampin
Headache,Prodrin
Tinea Pedis,Spectazole
Lennox-Gastaut Syndrome,Felbamate
"Diabetes, Type 1",Humalog
Multiple Sclerosis,Lemtrada
Osteoarthritis,Lodine
Deep Vein Thrombosis,Lovenox
Overactive Bladde,Toviaz
Cough,Buckleys Mixture
Cough and Nasal Congestion,Bromfed DM
"Asthma, Maintenance",Uniphyl
Headache,Esgic-Plus
Human Papilloma Virus,Aldara
Ear Wax Impaction,Debrox
Benign Prostatic Hyperplasia,Cardura
Seasonal Allergic Conjunctivitis,Pataday
Hepatocellular Carcinoma,Sorafenib
Hemorrhoids,Nupercainal
Pain,Tylox
Dyspareunia,Ospemifene
Eczema,Psorcon E
Glioblastoma Multiforme,Temodar
Pain,Tylenol
Arrhythmia,Cordarone
Head and Neck Cance,Erbitux
"Conjunctivitis, Allergic",Ketotifen
Rhinorrhea,Atrovent Nasal
Premature Lab,Hydroxyprogesterone
Systemic Lupus Erythematosus,Benlysta
Sinus Symptoms,Acetaminophen / dextromethorphan / phenylephrine
Babesiosis,Atovaquone
Supraventricular Tachycardia,Bisoprolol
Extrapyramidal Reaction,Cogentin
Diabetic Macular Edema,Fluocinolone
Benign Prostatic Hyperplasia,Dutasteride / tamsulosin
Atrial Fibrillation,Dilt-XR
Arrhythmia,Norpace CR
Diarrhea,Paregoric
Otitis Media,A / B Otic
Rheumatoid Arthritis,Abatacept
Menopausal Disorders,Estratest H.S.
Migraine,Migergot
Birth Control,Femcon Fe
Allergic Rhinitis,Astepro
Hemorrhoids,Hydrocortisone / pramoxine
Depression,Amoxapine
"Diabetes, Type 2",Glyburide
Pain,Vicodin HP
Birth Control,Vienva
Insomnia,Estazolam
High Blood Pressure,Benazepril
Psoriasis,Cordran Tape
Uveitis,Durezol
"Melanoma, Metastatic",Keytruda
Cold Symptoms,Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine
Pneumonia,Gemifloxacin
Dystonia,Myobloc
tic (mycophenolic acid),Mycophenolic acid
Underactive Thyroid,Cytomel
Acne,Tetracycline
Allergic Reactions,EpiPen
Allergic Rhinitis,Allegra-D 12 Hour
Schizoaffective Disorde,Risperdal M-Tab
Dermatitis,Hylira
Keratosis,Solaraze
Urinary Incontinence,Sanctura XR
Thrombocythemia,Myleran
Psoriasis,Lidex
Rhinitis,Chlorpheniramine / methscopolamine / phenylephrine
Migraine Prevention,Inderal LA
Vitamin D Deficiency,Ergocalciferol
"Crohn's Disease",HyoMax SR
Macular Degeneration,Lucentis
Hemorrhoids,Phenylephrine / pramoxine
"Conjunctivitis, Bacterial",Dexamethasone / neomycin / polymyxin b
"Diabetes, Type 2",Repaglinide
Allergic Rhinitis,Kenalog-40
"Diabetes, Type 1","Insulin inhalation, rapid acting"
High Blood Pressure,Lopressor
"Melanoma, Metastatic",Zelboraf
Biliary Cirrhosis,Urso
Osteolytic Bone Metastases of Solid Tumors,Zometa
Postmenopausal Symptoms,Esterified estrogens
Seizures,Phenobarbital
"Diabetes, Type 2",Pioglitazone
Back Pain,Ryzolt
Birth Control,Lo / Ovral
Colorectal Cance,Stivarga
Nasal Congestion,Claritin-D
Depression,Budeprion XL
Hemophilia A,Advate
Systemic Lupus Erythematosus,Belimumab
Acute Lymphoblastic Leukemia,Iclusig
Breast Cance,Everolimus
Strongyloidiasis,Stromectol
Lennox-Gastaut Syndrome,Rufinamide
Erectile Dysfunction,Yohimbine
Multiple Myeloma,Revlimid
Edema,Diamox Sequels
Muscle Spasm,Fexmid
Vitamin K Deficiency,Mephyton
"Asthma, Maintenance",Pulmicort Flexhaler
Interstitial Cystitis,Azo-Standard
Prostate Cance,Degarelix
Anemia Associated with Chronic Renal Failure,Epoetin alfa
Pain,Indocin SR
"Parkinson's Disease",Symmetrel
Hepatitis C,Boceprevir
Bipolar Disorde,Equetro
Dry Skin,Corn Huskers Lotion
Allergic Rhinitis,Cetirizine / pseudoephedrine
Pain,Capsin
Vitamin K Deficiency,Phytonadione
Lactose Intolerance,Lactase
Head Lice,Ovide
Cough,Dextromethorphan / guaifenesin
Acne,Retin A Micro
Migraine Prevention,Riboflavin
Multiple Sclerosis,Cyclophosphamide
Postmenopausal Symptoms,Estropipate
amilial Cold Autoinflammatory Syndrome,Arcalyst
Iron Deficiency Anemia,Slow Fe
Post Traumatic Stress Disorde,Luvox CR
Pain,Prialt
Herpes Simplex,Zovirax
"Tuberculosis, Prophylaxis",Isoniazid
Pain,Tylenol with Codeine
Cervical Dystonia,Botulinum toxin type b
COPD,Stiolto Respimat
Birth Control,Ashlyna
Constipation,Senokot
Muscle Pain,Norgesic
Atrial Fibrillation,Dronedarone
Multiple Sclerosis,Avonex Pen
Myasthenia Gravis,Neostigmine
Pain,Darvocet A500
Not Listed / Othe,Undecylenic acid
Postmenopausal Symptoms,Drospirenone / estradiol
Allergic Rhinitis,Drixoral Cold / Flu
CNS Magnetic Resonance Imaging,Gadavist
Vaginal Yeast Infection,Vagistat-1
Constipation,Magnesium oxide
Pain,Valdecoxib
ADHD,Methamphetamine
Postoperative Ocular Inflammation,Lotemax
Labor Pain,Naropin Polyamp
"Diabetes, Type 2",Humulin N
Urticaria,Alavert
Prostate Cance,Sipuleucel-T
Rosacea,Rozex
Keratosis,Collagenase
Atrial Fibrillation,Savaysa
Dientamoeba fragilis,Humatin
Muscle Spasm,Aspirin / carisoprodol
Tinea Corporis,Griseofulvin
Menstrual Disorders,Microgestin 1.5 / 30
"Raynaud's Syndrome",Vasodilan
Chronic Pain,Talwin Nx
Panic Disorde,Klonopin Wafer
High Blood Pressure,Aliskiren
Opiate Dependence,Zubsolv
Muscle Pain,Soma Compound
High Blood Pressure,Coreg CR
Depression,Aplenzin
Hepatitis C,Viekira Pak
Overactive Bladde,Fesoterodine
Hypersomnia,Vivarin
Overactive Bladde,Detrol
Colorectal Cance,Cetuximab
Allergic Rhinitis,Nasacort AQ
Cold Symptoms,Rynatan
Anal Fissure and Fistula,Rectiv
Migraine Prevention,Verelan
Costochondritis,Flanax Pain Reliever
Breast Cance,Paclitaxel protein-bound
Urinary Tract Infection,Hyoscyamine / methenamine / methylene blue / sodium biphosphate
"COPD, Maintenance",Foradil Aerolizer
Osteoporosis,Raloxifene
Alcohol Dependence,Revia
Local Anesthesia,Polocaine
Panic Disorde,Ludiomil
Cold Symptoms,Echinacea
Birth Control,Larin Fe 1 / 20
Diaper Rash,Vusion
"Burns, External",Silver sulfadiazine
"Diabetes, Type 2",Avandamet
Hemorrhoids,Analpram-HC
Malaria Prevention,Lariam
Migraine,Methylergonovine
Rheumatoid Arthritis,Oxaprozin
"Diabetes, Type 2",Tanzeum
Skin or Soft Tissue Infection,Vibramycin
Irritable Bowel Syndrome,Rifaximin
High Blood Pressure,Hydrochlorothiazide / irbesartan
HIV Infection,Truvada
Rosacea,Azelex
Chronic Lymphocytic Leukemia,Ibrutinib
Postmenopausal Symptoms,Estradiol / norethindrone
"Tourette's Syndrome",Pimozide
High Blood Pressure,Enalapril
Influenza Prophylaxis,"Influenza virus vaccine, inactivated"
Cough and Nasal Congestion,Chlorpheniramine / dextromethorphan / phenylephrine
"Alzheimer's Disease",Exelon
Osteoarthritis,Naprosyn
Pulmonary Hypertension,Ambrisentan
Insomnia,Quazepam
"Conjunctivitis, Bacterial",Dexamethasone / tobramycin
Upper Respiratory Tract Infection,Azithromycin Dose Pack
"Asthma, acute",Asthmanefrin
Depression,Amitriptyline / chlordiazepoxide
Rhinitis,Dallergy
Migraine,Zomig-ZMT
"Diabetes, Type 2",Exubera
Diabetic Peripheral Neuropathy,Gabarone
High Blood Pressure,Tribenzor
Anesthesia,Succinylcholine
Multiple Myeloma,Pomalyst
Sedation,Butabarbital
COPD,Tudorza Pressair
Anesthesia,Lidocaine / prilocaine
Weight Loss,Ionamin
Xerostomia,Aquoral
Thyroid Cance,Nexavar
"Burns, External",Solarcaine First Aid Medicated Spray
"Tuberculosis, Prophylaxis",Rifadin
lic Acid Deficiency,Folic acid
Headache,Bupap
Muscle Spasm,Norgesic Forte
Cold Symptoms,Acetaminophen / chlorpheniramine
Sinus Symptoms,Advil Cold and Sinus Liqui-Gels
Bipolar Disorde,Depakene
Polycystic Ovary Syndrome,Wera
Bipolar Disorde,Risperdal Consta
Indigestion,Famotidine
Vertig,Antivert
Postmenopausal Symptoms,Femring
Prevention of Dental Caries,Pro-Den Rx
Postmenopausal Symptoms,Esterified estrogens / methyltestosterone
Edema,Chlorothiazide
Vaginal Yeast Infection,M-Zole 3
Vitamin/Mineral Supplementation during Pregnancy/Lactation,CitraNatal 90 DHA
Seizures,Eslicarbazepine
Dermatitis,Olux
High Blood Pressure,Monopril
Birth Control,Mircette
Multiple Sclerosis,Corticotropin
Irritable Bowel Syndrome,Cholestyramine Light
Tardive Dyskinesia,Vitamin e
Diabetic Macular Edema,Eylea
Pain,Motrin IB
Urinary Tract Infection,Cefixime
HIV Infection,Emtricitabine / tenofovir
COPD,Rayos
Kidney Infections,Zosyn
Diagnosis and Investigation,Regadenoson
Cough,Tussigon
Schizophrenia,Invega Trinza
Intermittent Claudication,Cilostazol
"Diarrhea, Chronic",Imodium
"Crohn's Disease",Balsalazide
Breast Cance,Abraxane
Cough and Nasal Congestion,Maxichlor PSE DM
Allergic Rhinitis,Carbinoxamine
Ichthyosis,AmLactin
Overactive Bladde,Darifenacin
Intraocular Hypertension,Timoptic
"Crohn's Disease, Maintenance",Asacol HD
Insomnia,Aspirin / diphenhydramine
B12 Nutritional Deficiency,Vitamin B12
"Glaucoma, Open Angle",Alphagan P
Cance,Doxorubicin
Diaper Rash,Calmoseptine
Rhinitis,Veramyst
Dietary Supplementation,MVI Adult
"Burns, External",Aloe vera
Birth Control,Junel 1.5 / 30
Atrial Fibrillation,Rythmol
Pulmonary Hypertension,Uptravi
"Conjunctivitis, Bacterial",Zylet
Gingivitis,Peridex
Bacterial Vaginitis,Flagyl ER
Acne,Benzamycin
Anxiety,Meprobamate
Hereditary Angioedema,Cinryze
Sinus Symptoms,Ornex
Post Traumatic Stress Disorde,Minipress
Cough,Tessalon
Nasal Congestion,Sodium chloride
Migraine,Onzetra Xsail
Primary Immunodeficiency Syndrome,Gamunex
Pruritus,Crotamiton
Erectile Dysfunction,Staxyn
Birth Control,Junel 1 / 20
Dermatological Disorders,Silver
"COPD, Acute",Proventil
Birth Control,Ortho-Novum 7 / 7 / 7
Dyspareunia,Osphena
Birth Control,Azurette
"Ulcerative Colitis, Active",Rowasa
Nasal Congestion,Brompheniramine / pseudoephedrine
Lactose Intolerance,Lactaid
Pain,Dilaudid-HP
Dietary Supplementation,Ascorbic acid
Pinworm Infection (Enterobius vermicularis),Pyrantel
Hepatitis B,Lamivudine
Birth Control,Mono-Linyah
High Blood Pressure,Procardia XL
HIV Infection,Etravirine
Birth Control,Nikki
Inflammatory Conditions,Horse chestnut
Prostate Cance,Eligard
Dietary Supplementation,Chondroitin / glucosamine
HIV Infection,Norvir
"Diabetes, Type 2",Lantus
Diarrhea,Florastor
Anxiety,Triavil
"Ischemic Stroke, Prophylaxis",Aspirin / dipyridamole
Acne,Clindagel
Abnormal Uterine Bleeding,Amethia Lo
Chronic Pancreatitis,Pancreatin
"Alzheimer's Disease",Namenda
Cough and Nasal Congestion,Maxifed DM
Pulmonary Hypertension,Opsumit
Polycythemia Vera,Jakafi
"Conjunctivitis, Allergic",Zaditor
Otitis Externa,Ciprofloxacin / dexamethasone
Underactive Thyroid,WP Thyroid
"Diabetes, Type 2",Glyxambi
Headache,Dolgic Plus
Nausea/Vomiting,Marezine
Erectile Dysfunction,Caverject Impulse
"Raynaud's Syndrome",Procardia
Birth Control,Zenchent
Ankylosing Spondylitis,Clinoril
Ophthalmic Surgery,Zymar
Endometriosis,Danazol
Xerostomia,SalivaMAX
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Natelle One
Human Papilloma Virus,Cimetidine
Birth Control,Blisovi Fe 1.5 / 30
Dysautonomia,ProAmatine
High Blood Pressure,Azilsartan medoxomil / chlorthalidone
Osteoarthritis,Bioflavonoids
Lichen Sclerosus,Betamethasone
"Parkinson's Disease",Entacapone
High Blood Pressure,Altace
min / pioglitazone),Metformin / pioglitazone
Birth Control,CamreseLo
Rheumatoid Arthritis,Auranofin
Constipation,Dulcolax Stool Softener
Pain,Aspirin / carisoprodol / codeine
Xerostomia,NeutraSal
Dermatological Disorders,Duoplant
"von Willebrand's Disease",Stimate
Pain,Aspirin / oxycodone
Birth Control,Balziva
Anemia Associated with Chronic Renal Failure,Darbepoetin alfa
Allergic Rhinitis,Allegra Allergy
Diaper Rash,Zinc oxide
Primary Immunodeficiency Syndrome,Hizentra
"Gout, Acute",Tolmetin
Cough and Nasal Congestion,Chlophedianol / guaifenesin / pseudoephedrine
Sinus Symptoms,Sine-Off Maximum Strength
Irritable Bowel Syndrome,Questran
Hepatitis C,Dasabuvir / ombitasvir / paritaprevir / ritonavir
"Diabetes, Type 2",Novolin 70 / 30
Bowel Preparation,GaviLyte-G
Ischemic Stroke,Nimotop
min / rosiglitazone),Metformin / rosiglitazone
Ulcerative Proctitis,Cortenema
Acne,Onexton
,Aerobid-M
,Blephamide
"Peyronie's Disease",Collagenase clostridium histolyticum
Dandruff,Nizoral A-D
Pain/Feve,"Goody's Extra-Strength Headache Powders"
"Asthma, Maintenance",Advair HFA
Secondary Hyperparathyroidism,Sensipar
Insomnia,Edluar
"Herpes Zoster, Prophylaxis",Zostavax
Submental Fullness,Kybella
Pain,Benzocaine
Alcohol Withdrawal,Serax
Hepatitis B,Viread
Cold Symptoms,Coricidin HBP Cold & Flu
High Blood Pressure,Quinapril
Sore Throat,Chloraseptic Sore Throat Spray
Anxiety,Vanspar
HIV Infection,Efavirenz
Psoriasis,Soriatane
Rheumatoid Arthritis,Simponi Aria
"Diabetes, Type 2",Jentadueto
Birth Control,Enskyce
"Parkinson's Disease",Sinemet CR
High Blood Pressure,Prinivil
Birth Control,Marlissa
Influenza Prophylaxis,Fluzone
"Onychomycosis, Toenail",Ciclopirox
Multiple Sclerosis,Alemtuzumab
Dermatological Disorders,Hydroquinone
Nasal Congestion,Afrin Sinus
GERD,Aluminum hydroxide / magnesium hydroxide / simethicone
Herbal Supplementation,Royal jelly
Psoriasis,Taclonex Scalp
Migraine,Acetaminophen / aspirin / caffeine / salicylamide
"Onychomycosis, Toenail",Gris-PEG
Depression,Asendin
"Parkinson's Disease",Carbidopa / entacapone / levodopa
"Breast Cancer, Metastatic",Halaven
Adult Human Growth Hormone Deficiency,Omnitrope
Dietary Supplementation,Bifidobacterium infantis / lactobacillus acidophilus
"Asthma, Maintenance",Flovent HFA
Dermatologic Lesion,Balsam peru / castor oil / trypsin
Pulmonary Hypertension,Adempas
Seizure Prevention,Lamictal XR
Birth Control,Elinest
Cold Sores,Famvir
"Ulcerative Colitis, Active",Canasa
Labor Induction,Dinoprostone
Myelodysplastic Syndrome,Vidaza
"Parkinson's Disease",Requip XL
High Blood Pressure,Trandolapril / verapamil
Pinworm Infection (Enterobius vermicularis),Albendazole
Expectoration,Acetylcysteine
Pain,Tylenol 8 Hour
Allergic Rhinitis,Chlorpheniramine / phenylephrine
High Blood Pressure,Dyazide
"Conjunctivitis, Bacterial",Azasite
"Raynaud's Syndrome",Nifedical XL
Prostatitis,Ditropan XL
Arrhythmia,Quinidine
Psychosis,Prolixin
Constipation,ClearLax
Human Papilloma Virus,Tagamet
"Breast Cancer, Metastatic",Eribulin
HIV Infection,Prezista
Urinary Tract Stones,Citric acid / potassium citrate
"Glaucoma, Open Angle",Lumigan
Insomnia,Advil PM
Sinusitis,Chlorpheniramine / pseudoephedrine
Abdominal Distension,Urecholine
,Coenzyme Q10
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Concept DHA
Salivary Gland Cance,Herceptin
"Diabetes, Type 2",Novolog
Pruritus,Sarna Sensitive
Bronchitis,Ery-Tab
Gout,Krystexxa
Eye Redness/Itching,Naphazoline / pheniramine
Anorexia,Megace ES
Dermatophytosis,Itraconazole
Urinary Tract Infection,Amikacin
,Prednisolone / sulfacetamide sodium
Intraocular Hypertension,Combigan
Dry Skin,Biafine
Kidney Infections,Piperacillin / tazobactam
"Diabetes, Type 1",SymlinPen 60
Psoriasis,Enstilar
Herbal Supplementation,Lecithin
Skin Rash,Diflorasone
Influenza,Acetaminophen / phenyltoloxamine
Cold Symptoms,Mucinex Fast-Max Night Time Cold & Flu
Ulcerative Proctitis,Canasa Pac
Hereditary Angioedema,Conestat alfa
High Cholesterol,Niacin / simvastatin
Pediatric Growth Hormone Deficiency,Tev-Tropin
Ovarian Cance,Zejula
Gout,Pegloticase
"Diabetes, Type 2",Insulin aspart
Headache,Acetaminophen / phenylephrine
Dry Eye Disease,Systane Ultra
acial Wrinkles,Botox Cosmetic
ge HCT (amlodipine / hydrochlorothiazide / valsartan),Amlodipine / hydrochlorothiazide / valsartan
Edema,Torsemide
"Ulcerative Colitis, Maintenance",Salofalk
Hairy Cell Leukemia,Cladribine
High Cholesterol,Lopid
Plaque Psoriasis,Brodalumab
Heart Failure,Nitrostat
Hypoglycemia,Glucose
Seborrheic Dermatitis,Xolegel
Osteoarthritis,Dolobid
Acne,Sulfur
Myasthenia Gravis,Mestinon Timespan
Birth Control,Pirmella 1 / 35
Acne,Adoxa
Hepatitis C,Telaprevir
Hepatitis C,Olysio
Acne,Norinyl 1+35
Psychosis,Perphenazine
Gas,Simethicone
Hyperprolactinemia,Parlodel
"Diabetes, Type 2",Glyburide / metformin
Constipation,Methylcellulose
Irritable Bowel Syndrome,Pamine
Postural Orthostatic Tachycardia Syndrome,Midodrine
"Diabetes, Type 1",Insulin regular
,Maxidex
Vitamin/Mineral Supplementation and Deficiency,Hemax
Salivary Gland Cance,Trastuzumab
Anxiety,Miltown
Vaginal Yeast Infection,Butoconazole
Cystic Fibrosis,Amikin
Cough and Nasal Congestion,BroveX PEB DM
Brain Tum,Cytoxan
"Asthma, Maintenance",Theophylline
Chronic Pain,Duramorph
Chronic Pain,Oxaydo
Hyperprolactinemia,Dostinex
Mucositis,Chlorhexidine
Allergic Rhinitis,Allegra-D 24 Hour
Hot Flashes,Estratest
,Fludrocortisone
"Conjunctivitis, Bacterial",Polymyxin b / trimethoprim
Pain,Soma Compound with Codeine
Pain,Buprenex
Herbal Supplementation,Milk thistle
Hemorrhoids,Tronolane Anesthetic for Hemorrhoids
"Conjunctivitis, Allergic",Lastacaft
HIV Infection,Odefsey
GERD,Nizatidine
Bacterial Skin Infection,Bacitracin / neomycin / polymyxin b / pramoxine
Eye Redness/Itching,Visine Totality Multi-Symptom Relief
Peripheral T-cell Lymphoma,Pralatrexate
"Asthma, Maintenance",Maxair Autohaler
Pain,Capzasin
Postmenopausal Symptoms,Premarin Vaginal
Nausea/Vomiting,Inapsine
Dry Skin,X-Viate
Acne,Benzoyl peroxide / sulfur
Birth Control,Lomedia 24 Fe
HIV Infection,Abacavir / lamivudine / zidovudine
Edema,Pamabrom
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,Gammagard
Chronic Pain,Ziconotide
"Diabetes, Type 2",Alogliptin
Polycythemia Vera,Ruxolitinib
"Asthma, Maintenance",Accolate
Dietary Supplementation,Glutamine
Pain,Naloxone / oxycodone
"Conjunctivitis, Bacterial",Besifloxacin
Herbal Supplementation,Pennyroyal
"Nausea/Vomiting, Postoperative",Kytril
Eczema,Dermatop
Idiopathic Thrombocytopenic Purpura,Rho (d) immune globulin
Hepatitis C,Daklinza
Dietary Supplementation,L-Methylfolate Calcium
Migraine,Vanquish
Diarrhea,Pepto-Bismol
Atrial Fibrillation,Sotalol Hydrochloride AF
Oral and Dental Conditions,Topical Anesthetic Dental Gel
Eye Redness,Systane Balance
Dandruff,Nizoral Shampoo
Hepatitis C,Rebetol
Asystole,Sodium bicarbonate
Nocturnal Leg Cramps,Calan SR
Breast Cance,Adriamycin
Hereditary Angioedema,Ecallantide
Hypertriglyceridemia,Lipofen
Bowel Preparation,GaviLyte-N
Seizures,Ethosuximide
Migraine Prevention,InnoPran XL
Skin or Soft Tissue Infection,Cleocin HCl
Pancreatic Cance,Gemzar
Migraine,Methergine
Insomnia,Pentobarbital
Vitamin/Mineral Supplementation during Pregnancy/Lactation,PreNexa
Eczema,Prednicarbate
Insomnia,Intermezzo
Nasal Congestion,Sudafed Congestion
Macular Degeneration,Aflibercept
Postoperative Ocular Inflammation,Bromfenac
"Diabetes, Type 1",Symlin
Seizures,Diastat
Irritable Bowel Syndrome,Belladonna Tincture
Acne,Dynacin
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Prenatal Plus
Hereditary Angioedema,C1 esterase inhibitor (human)
"von Willebrand's Disease",Antihemophilic factor / von willebrand factor
"COPD, Maintenance",Spiriva Respimat
"High Cholesterol, Familial Heterozygous",Mevacor
Dry Skin,Dexpanthenol
Urinary Tract Infection,Ampicillin
Rejection Prophylaxis,Myfortic
Osteoporosis,Calcitonin
Iron Deficiency Anemia,Heme iron polypeptide
Diarrhea,Raspberry
HIV Infection,Isentress
High Blood Pressure,Caduet
acial Wrinkles,AbobotulinumtoxinA
"Conjunctivitis, Bacterial",Besivance
Eye Redness,Hypotears
"Asthma, Maintenance",Alupent
Bipolar Disorde,Lamictal ODT
Pupillary Dilation,Paremyd
Cough and Nasal Congestion,Brompheniramine / dextromethorphan / phenylephrine
ADHD,Evekeo
Psoriasis,MG217 Medicated Tar
Acute Promyelocytic Leukemia,Arsenic trioxide
"Constipation, Chronic",Constulose
Pain,Xartemis XR
COPD,Umeclidinium
Insomnia,Compoz Nighttime Sleep Aid
Colorectal Cance,Panitumumab
Postoperative Pain,Bupivacaine
Rheumatoid Arthritis,Xeljanz XR
Inflammatory Conditions,Dexamethasone Intensol
High Blood Pressure,Reserpine
Postoperative Ocular Inflammation,Nepafenac
Allergic Reactions,Chlor-Trimeton
Dietary Supplementation,Amino acids
Ovarian Cance,Niraparib
Ovulation Induction,Pregnyl
HIV Infection,Darunavir
Birth Control,Larin 24 Fe
Non-Small Cell Lung Cance,Crizotinib
ADHD,Cylert
CNS Magnetic Resonance Imaging,Gadopentetate dimeglumine
Bacterial Infection,Flagyl IV
Birth Control,Cyclessa
"Burns, External",Xylocaine Jelly
Primary Immunodeficiency Syndrome,Vivaglobin
Postmenopausal Symptoms,Ogen
Cough,Dextromethorphan / promethazine
High Blood Pressure,Edarbi
"Ischemic Stroke, Prophylaxis",Aggrenox
HIV Infection,Fuzeon
Anemia,Procrit
Anesthesia,Ketalar
Constipation,Milk of Magnesia
Hypokalemic Periodic Paralysis,Dichlorphenamide
Hereditary Angioedema,Firazyr
amilial Cold Autoinflammatory Syndrome,Rilonacept
Oral and Dental Conditions,Clove
GERD,Prevacid SoluTab
"Diabetes, Type 1",Pramlintide
"COPD, Maintenance",DuoNeb
"Deep Vein Thrombosis, Prophylaxis",Arixtra
Hyperkalemia,Sodium polystyrene sulfonate
Bowel Preparation,PEG3350
ADHD,Aptensio XR
Osteoarthritis,Osteo Bi-Flex
Birth Control,Gildess 1 / 20
Nasal Congestion,Semprex-D
High Cholesterol,B3-500-Gr
Depression,Maprotiline
"Glaucoma, Open Angle",Istalol
Influenza,Relenza
"Still's Disease",Anakinra
"Glaucoma, Open Angle",Dorzolamide / timolol
Heart Failure,Trandolapril
Atrial Fibrillation,Tiazac
Cold Symptoms,Alka-Seltzer Plus Cold
Cough and Nasal Congestion,Capmist DM
Dry Skin,Lac-Hydrin
Diaper Rash,Miconazole / zinc oxide
"Parkinson's Disease",Stalevo
